"COMMUNITY AREA","YEAR","VALUE","GI_VAR"
"City of Chicago","1970",3369359,"Population"
"City of Chicago","1980",3005072,"Population"
"City of Chicago","1990",2783726,"Population"
"City of Chicago","2000",2896016,"Population"
"City of Chicago","2010",2691921.54485422,"Population"
"City of Chicago","2008 - 2012",2702471,"Population"
"City of Chicago","2013 - 2017",2722586,"Population"
"1. Rogers Park","1970",60787,"Population"
"1. Rogers Park","1980",55525,"Population"
"1. Rogers Park","1990",60378,"Population"
"1. Rogers Park","2000",63484,"Population"
"1. Rogers Park","2010",49949,"Population"
"1. Rogers Park","2008 - 2012",57559,"Population"
"1. Rogers Park","2013 - 2017",55062,"Population"
"2. West Ridge","1970",65432,"Population"
"2. West Ridge","1980",61129,"Population"
"2. West Ridge","1990",65374,"Population"
"2. West Ridge","2000",73199,"Population"
"2. West Ridge","2010",71942,"Population"
"2. West Ridge","2008 - 2012",73705,"Population"
"2. West Ridge","2013 - 2017",76215,"Population"
"3. Uptown","1970",74838,"Population"
"3. Uptown","1980",64414,"Population"
"3. Uptown","1990",63839,"Population"
"3. Uptown","2000",63551,"Population"
"3. Uptown","2010",56362,"Population"
"3. Uptown","2008 - 2012",54995,"Population"
"3. Uptown","2013 - 2017",57973,"Population"
"4. Lincoln Square","1970",47751,"Population"
"4. Lincoln Square","1980",43954,"Population"
"4. Lincoln Square","1990",44891,"Population"
"4. Lincoln Square","2000",44574,"Population"
"4. Lincoln Square","2010",39493,"Population"
"4. Lincoln Square","2008 - 2012",38622,"Population"
"4. Lincoln Square","2013 - 2017",41715,"Population"
"5. North Center","1970",39410,"Population"
"5. North Center","1980",35161,"Population"
"5. North Center","1990",33010,"Population"
"5. North Center","2000",31895,"Population"
"5. North Center","2010",31867,"Population"
"5. North Center","2008 - 2012",33418,"Population"
"5. North Center","2013 - 2017",35789,"Population"
"6. Lake View","1970",114943,"Population"
"6. Lake View","1980",97519,"Population"
"6. Lake View","1990",91031,"Population"
"6. Lake View","2000",94817,"Population"
"6. Lake View","2010",94368,"Population"
"6. Lake View","2008 - 2012",96539,"Population"
"6. Lake View","2013 - 2017",100470,"Population"
"7. Lincoln Park","1970",67416,"Population"
"7. Lincoln Park","1980",57146,"Population"
"7. Lincoln Park","1990",61092,"Population"
"7. Lincoln Park","2000",64320,"Population"
"7. Lincoln Park","2010",64116,"Population"
"7. Lincoln Park","2008 - 2012",64631,"Population"
"7. Lincoln Park","2013 - 2017",67710,"Population"
"8. Near North Side","1970",70269,"Population"
"8. Near North Side","1980",67167,"Population"
"8. Near North Side","1990",62842,"Population"
"8. Near North Side","2000",72811,"Population"
"8. Near North Side","2010",76490,"Population"
"8. Near North Side","2008 - 2012",80516,"Population"
"8. Near North Side","2013 - 2017",88893,"Population"
"9. Edison Park","1970",13241,"Population"
